Protein,community_DC,community_CC,community_BC,community_EC,community_PageRank
Q0045,0.7693204530313125,1.0708630200504858,0.06548477807503489,0.24815882627965258,0.03434591340064475
Q0050,0.40669856459330145,0.9353845182327546,0.000814412968942537,0.13512736965580444,0.05355700617750799
Q0075,0.9960127591706539,1.4912473068636505,0.02169361697050688,0.1656515948969418,0.040998051674683386
Q0080,0.47017543859649125,1.1060078775578153,0.0004958921272253775,0.2389812408255726,0.035048686898441886
Q0085,0.5201754385964912,1.1195031542109866,0.007513435986874499,0.2657429161520512,0.04412398839993056
Q0105,0.655396402398401,1.097640260525923,0.02075586362814915,0.17176826900848963,0.01580416984470051
Q0110,0.7024656235182551,1.0669072752502726,0.0038728062229608767,0.0965420918478981,0.015055774750652437
Q0115,0.9960127591706539,1.4912473068636505,0.02169361697050688,0.1656515948969418,0.040998051674683386
Q0120,0.4201754385964912,0.8129675845175223,0.2689730338304354,0.08964773539175708,0.050807261496001066
Q0130,0.47017543859649125,1.1060078775578153,0.004004664057049938,0.19795933973958382,0.03558639640005785
Q0140,0.5144110275689223,1.1069057203916306,0.0012252405864614476,0.08258841203252902,0.010826906982977346
Q0160,0.6896929824561403,1.0600355390082925,0.0031294108194701792,0.1327186885104269,0.029536059253800484
Q0250,0.7186875416389074,1.1115389234393642,0.0779756037076853,0.23344125104418922,0.02716575724585401
Q0255,0.9960127591706539,1.4912473068636505,0.02169361697050688,0.1656515948969418,0.040998051674683386
Q0275,0.655396402398401,1.0232187348061421,0.008854122000540126,0.1421899226005896,0.016796472558586937
TD(GUC)B,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)D,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)G1,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)G2,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)I1,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)I2,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)J1,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)J2,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)J3,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)J4,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)K,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)L1,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)L2,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)M,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)N,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
TD(GUC)O,0.1461593172119488,1.0358389719487326,0.001798130306586375,0.15682143474016086,0.01960512942790067
